"","model_type","vod_type","vod_count","rounds_per_vod","players_count","util_max","util_none","p1_coop_cost","p1","p1_coop_ratio","p2_coop_cost","p2","p2_coop_ratio","p3_coop_cost","p3","p3_coop_ratio"
"1","Random","sym",10,150,3,80,0,"50","#####","0.333333333333333","50","#####","0.333333333333333","50","#####","0.333333333333333"
"2","Random","asym1",10,150,3,80,0,"30","#####","0.333333333333333","50","#####","0.333333333333333","50","#####","0.333333333333333"
"3","Random","asym2",10,150,3,80,0,"10","#####","0.333333333333333","50","#####","0.333333333333333","50","#####","0.333333333333333"
