"","sym_h1","sym_h2","sym_h3","sym_others","asym1_h1","asym1_h2","asym1_h3","asym1_others","asym2_h1","asym2_h2","asym2_h3","asym2_others","source"
"1",0,0.888888888888889,22.6222222222222,76.4888888888889,11.9555555555556,1.06666666666667,7.86666666666667,79.1111111111111,28.9333333333333,3.02222222222222,3.42222222222222,64.6222222222222,"model"
"2",3.3,8,49.5,39.2,34.9,8.2,13.4,43.5,61.7,1.5,6.7,30.1,"experiment"
