"","simCount","timestamp","model_type","vod_type","GOF_per_vod_type","RMSE_per_vod_type","NRMSE_per_vod_type","RSQ_per_vod_type","GOF_combined","RMSE_combined","NRMSE_combined","RSQ_combined","vod_params","vod_count","rounds_per_vod","players_count","util_max","util_none","p1_coop_cost","p2_coop_cost","p3_coop_cost","p1_params","p1_X","p1_players_per_state","p1_balancing","p1_prop_start","p1_epsilon_start","p1_epsilon_decay","p1_alpha","p1_gamma","p1_social_behavior","p2_params","p2_X","p2_players_per_state","p2_balancing","p2_prop_start","p2_epsilon_start","p2_epsilon_decay","p2_alpha","p2_gamma","p2_social_behavior","p3_params","p3_X","p3_players_per_state","p3_balancing","p3_prop_start","p3_epsilon_start","p3_epsilon_decay","p3_alpha","p3_gamma","p3_social_behavior"
"1",1946,"2017-06-16 18:59:09","ClassicQ","sym","###",37.8369373099885,165.8,0.180047274378392,"#",25.3798400966857,123.1,0.456974577241332,"###",4,5000,3,80,0,50,50,50,"#####",3,3,"greedy",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"greedy",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"greedy",120,0.1,0.99954,0.25,0.6,"selfish"
"2",1946,"2017-06-16 18:59:09","ClassicQ","asym1","###",20.9734659748931,124.1,0.517877195969244,"#",25.3798400966857,123.1,0.456974577241332,"###",4,5000,3,80,0,30,50,50,"#####",3,3,"greedy",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"greedy",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"greedy",120,0.1,0.99954,0.25,0.6,"selfish"
"3",1946,"2017-06-16 18:59:09","ClassicQ","asym2","###",7.80312437424907,28.4,0.976120064092008,"#",25.3798400966857,123.1,0.456974577241332,"###",4,5000,3,80,0,10,50,50,"#####",3,3,"greedy",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"greedy",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"greedy",120,0.1,0.99954,0.25,0.6,"selfish"
