"","simCount","timestamp","model_type","vod_type","GOF_per_vod_type","RMSE_per_vod_type","NRMSE_per_vod_type","RSQ_per_vod_type","GOF_combined","RMSE_combined","NRMSE_combined","RSQ_combined","vod_params","vod_count","rounds_per_vod","players_count","util_max","util_none","p1_coop_cost","p2_coop_cost","p3_coop_cost","p1_params","p1_X","p1_players_per_state","p1_balancing","p1_prop_start","p1_epsilon_start","p1_epsilon_decay","p1_alpha","p1_gamma","p1_social_behavior","p2_params","p2_X","p2_players_per_state","p2_balancing","p2_prop_start","p2_epsilon_start","p2_epsilon_decay","p2_alpha","p2_gamma","p2_social_behavior","p3_params","p3_X","p3_players_per_state","p3_balancing","p3_prop_start","p3_epsilon_start","p3_epsilon_decay","p3_alpha","p3_gamma","p3_social_behavior"
"1",1,"2017-06-09 12:34:29","ClassicQ","sym","###",38.0255104429177,166.7,0.167870818106339,"#",39.4790755642455,191.4,0.135014182532706,"###",10,150,3,80,0,50,50,50,"#####",2,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish"
"2",1,"2017-06-09 12:34:29","ClassicQ","asym1","###",33.7085300777118,199.4,0.532440358123508,"#",39.4790755642455,191.4,0.135014182532706,"###",10,150,3,80,0,30,50,50,"#####",2,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish"
"3",1,"2017-06-09 12:34:29","ClassicQ","asym2","###",45.7557403806099,166.7,0.0153448611528999,"#",39.4790755642455,191.4,0.135014182532706,"###",10,150,3,80,0,10,50,50,"#####",2,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish"
"1",2,"2017-06-09 12:35:59","ClassicQ","sym","###",38.6735697860955,169.5,0.172145457960362,"#",39.0859357105644,189.5,0.137110796118493,"###",10,150,3,80,0,50,50,50,"#####",3,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish"
"2",2,"2017-06-09 12:35:59","ClassicQ","asym1","###",32.8901961076549,194.6,0.532440358123508,"#",39.0859357105644,189.5,0.137110796118493,"###",10,150,3,80,0,30,50,50,"#####",3,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish"
"3",2,"2017-06-09 12:35:59","ClassicQ","asym2","###",44.7852778389407,163.2,0.0153448611529,"#",39.0859357105644,189.5,0.137110796118493,"###",10,150,3,80,0,10,50,50,"#####",3,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.6,"selfish"
"1",3,"2017-06-09 12:37:04","ClassicQ","sym","###",38.6735697860955,169.5,0.172145457960362,"#",38.5923999426485,187.1,0.139062792227738,"###",10,150,3,80,0,50,50,50,"#####",2,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish"
"2",3,"2017-06-09 12:37:04","ClassicQ","asym1","###",32.8901961076549,194.6,0.532440358123508,"#",38.5923999426485,187.1,0.139062792227738,"###",10,150,3,80,0,30,50,50,"#####",2,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish"
"3",3,"2017-06-09 12:37:04","ClassicQ","asym2","###",43.4822952476062,158.4,0.0153448611529,"#",38.5923999426485,187.1,0.139062792227738,"###",10,150,3,80,0,10,50,50,"#####",2,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish"
"1",4,"2017-06-09 12:38:34","ClassicQ","sym","###",38.6250566342627,169.3,0.16909795631437,"#",38.8643795782205,188.4,0.12948705946384,"###",10,150,3,80,0,50,50,50,"#####",3,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish"
"2",4,"2017-06-09 12:38:34","ClassicQ","asym1","###",30.3943251282209,179.8,0.528939315198783,"#",38.8643795782205,188.4,0.12948705946384,"###",10,150,3,80,0,30,50,50,"#####",3,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish"
"3",4,"2017-06-09 12:38:34","ClassicQ","asym2","###",45.9957606742187,167.6,0.0140297707303128,"#",38.8643795782205,188.4,0.12948705946384,"###",10,150,3,80,0,10,50,50,"#####",3,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish","#####",3,1,"greedy",0,0.05,0.98,0.25,0.75,"selfish"
"1",5,"2017-06-09 12:39:38","ClassicQ","sym","###",38.6554653315673,169.4,0.167943581686623,"#",39.4039761107091,191.1,0.131001602112697,"###",10,150,3,80,0,50,50,50,"#####",2,1,"greedy",0,0.05,0.98,0.25,0.9,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.9,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.9,"selfish"
"2",5,"2017-06-09 12:39:38","ClassicQ","asym1","###",31.2852201526536,185.1,0.532440358123508,"#",39.4039761107091,191.1,0.131001602112697,"###",10,150,3,80,0,30,50,50,"#####",2,1,"greedy",0,0.05,0.98,0.25,0.9,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.9,"selfish","#####",2,1,"greedy",0,0.05,0.98,0.25,0.9,"selfish"
