"","simCount","timestamp","model_type","vod_type","GOF_per_vod_type","RMSE_per_vod_type","NRMSE_per_vod_type","RSQ_per_vod_type","GOF_combined","RMSE_combined","NRMSE_combined","RSQ_combined","vod_params","vod_count","rounds_per_vod","players_count","util_max","util_none","p1_coop_cost","p2_coop_cost","p3_coop_cost","p1_params","p1_X","p1_players_per_state","p1_balancing","p1_prop_start","p1_epsilon_start","p1_epsilon_decay","p1_alpha","p1_gamma","p1_social_behavior","p2_params","p2_X","p2_players_per_state","p2_balancing","p2_prop_start","p2_epsilon_start","p2_epsilon_decay","p2_alpha","p2_gamma","p2_social_behavior","p3_params","p3_X","p3_players_per_state","p3_balancing","p3_prop_start","p3_epsilon_start","p3_epsilon_decay","p3_alpha","p3_gamma","p3_social_behavior"
"1",1948,"2017-06-18 12:27:12","ClassicQ","sym","###",36.7287139034298,161,0.172139206638361,"#",29.4353996065961,142.7,0.410115061873956,"###",4,5000,3,80,0,50,50,50,"#####",3,3,"noise",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"noise",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"noise",120,0.1,0.99954,0.25,0.6,"selfish"
"2",1948,"2017-06-18 12:27:12","ClassicQ","asym1","###",30.4763527181321,180.3,0.274804580042427,"#",29.4353996065961,142.7,0.410115061873956,"###",4,5000,3,80,0,30,50,50,"#####",3,3,"noise",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"noise",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"noise",120,0.1,0.99954,0.25,0.6,"selfish"
"3",1948,"2017-06-18 12:27:12","ClassicQ","asym2","###",17.9310275779164,65.3,0.864799769131182,"#",29.4353996065961,142.7,0.410115061873956,"###",4,5000,3,80,0,10,50,50,"#####",3,3,"noise",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"noise",120,0.1,0.99954,0.25,0.6,"selfish","#####",3,3,"noise",120,0.1,0.99954,0.25,0.6,"selfish"
