"","sym_h1","sym_h2","sym_h3","asym1_h1","asym1_h2","asym1_h3","asym2_h1","asym2_h2","asym2_h3","source"
"1",0,1.5,15.9,19.2,2.4,11,11.8,2.4,4.3,"model"
"2",3.3,8,49.5,34.9,8.2,13.4,61.7,1.5,6.7,"experiment"
